Number, phase, V[mag], XM, YM
1,1.37172,15.57026,2003,786
2,0.37067,15.57026,731,786
3,1.43861,15.52090,2088,751
4,0.43757,15.52090,816,751
5,1.36228,15.50538,1991,740
6,0.36201,15.50538,720,740
7,0.68704,15.49833,1133,735
8,0.53909,15.49692,945,734
9,1.30955,15.49269,1924,731
10,1.27571,15.49269,1881,731
11,0.30929,15.49269,653,731
12,0.27466,15.49269,609,731
13,0.51390,15.48564,913,726
14,0.48400,15.48141,875,723
15,1.02072,15.48282,1557,724
16,0.66028,15.48141,1099,723
17,0.59260,15.48282,1013,724
18,1.41973,15.48000,2064,722
19,0.41868,15.48000,792,722
20,1.26076,15.47859,1862,721
21,0.49423,15.47859,888,721
22,0.25971,15.47859,590,721
23,0.52413,15.47859,926,721
24,1.17655,15.47718,1755,720
25,0.17629,15.47577,484,719
26,0.61385,15.47577,1040,719
27,1.22613,15.47295,1818,717
28,0.22587,15.47295,547,717
29,1.37802,15.47295,2011,717
30,1.29460,15.47295,1905,717
31,0.57293,15.47295,988,717
32,0.56270,15.47295,975,717
33,0.37697,15.47295,739,717
34,0.29433,15.47295,634,717
35,1.46144,15.47154,2117,716
36,1.39612,15.45885,2034,707
37,1.23872,15.46872,1834,714
38,0.46118,15.47154,846,716
39,0.39586,15.45885,763,707
40,0.23846,15.46872,563,714
41,1.18993,15.46731,1772,713
42,0.90661,15.46872,1412,714
43,0.50525,15.47013,902,715
44,0.18888,15.46731,500,713
45,1.41658,15.45321,2060,703
46,0.47928,15.46731,869,713
47,0.41553,15.45321,788,703
48,1.44648,15.46449,2098,711
49,1.01128,15.46449,1545,711
50,0.44544,15.46449,826,711
51,1.11910,15.46308,1682,710
52,1.08604,15.46308,1640,710
53,0.58709,15.46026,1006,708
54,0.11884,15.46308,411,710
55,0.08578,15.46308,369,710
56,1.37172,15.45321,2003,703
57,1.36070,15.46167,1989,709
58,1.34103,15.45885,1964,707
59,1.07424,15.46167,1625,709
60,0.53987,15.45744,946,706
61,0.37146,15.45321,732,703
62,0.36044,15.46167,718,709
63,0.34077,15.45885,693,707
64,0.07398,15.46167,354,709
65,1.15058,15.46026,1722,708
66,0.69255,15.45885,1140,707
67,0.65950,15.46026,1098,708
68,0.15031,15.46026,451,708
69,0.99869,15.45885,1529,707
70,1.45357,15.45744,2107,706
71,1.32608,15.45603,1945,705
72,1.20724,15.45321,1794,703
73,0.45331,15.45744,836,706
74,0.32581,15.45603,674,705
75,0.20619,15.45321,522,703
76,1.10651,15.45462,1666,704
77,1.04827,15.45603,1592,705
78,0.55325,15.45038,963,701
79,0.10546,15.45462,394,704
80,0.04801,15.45603,321,705
81,0.52413,15.44897,926,700
82,1.23400,15.45462,1828,704
83,1.12303,15.44615,1687,698
84,0.94517,15.45321,1461,703
85,0.89244,15.45321,1394,703
86,0.67524,15.45179,1118,702
87,0.23295,15.45462,556,704
88,0.12277,15.44615,416,698
89,1.15845,15.45179,1732,702
90,0.15740,15.45321,460,703
91,1.27492,15.45179,1880,702
92,0.27387,15.45179,608,702
93,1.08447,15.45038,1638,701
94,1.06952,15.45038,1619,701
95,1.01679,15.45038,1552,701
96,0.08421,15.45038,367,701
97,0.06925,15.45038,348,701
98,0.74134,15.44474,1202,697
99,1.35834,15.44756,1986,699
100,0.99948,15.44756,1530,699
101,0.96721,15.44756,1489,699
102,0.60519,15.44333,1029,696
103,0.35729,15.44756,714,699
104,1.28987,15.44615,1899,698
105,0.28882,15.44615,627,698
106,1.18757,15.44051,1769,694
107,0.18730,15.44051,498,694
108,1.24029,15.44192,1836,695
109,1.14428,15.43628,1714,691
110,0.98295,15.44192,1509,695
111,0.91055,15.44051,1417,694
112,0.62644,15.44051,1056,694
113,0.23924,15.44192,564,695
114,0.14323,15.43628,442,691
115,1.10100,15.43628,1659,691
116,1.02545,15.44051,1563,694
117,0.99161,15.44051,1520,694
118,0.89795,15.43628,1401,691
119,0.10073,15.43628,388,691
120,1.40950,15.43910,2051,693
121,1.16868,15.43910,1745,693
122,1.03646,15.43628,1577,691
123,0.63903,15.43205,1072,688
124,0.58945,15.43910,1009,693
125,0.40923,15.43910,780,693
126,0.16842,15.43910,474,693
127,0.47062,15.43769,858,692
128,0.04250,15.43910,314,693
129,1.13641,15.43205,1704,688
130,0.13615,15.43205,433,688
131,1.05063,15.43487,1595,690
132,0.50603,15.43487,903,690
133,0.05037,15.43487,324,690
134,1.21826,15.43346,1808,689
135,1.06716,15.43487,1616,690
136,1.01836,15.43346,1554,689
137,0.96800,15.43487,1490,690
138,0.93101,15.43346,1443,689
139,0.84601,15.43487,1335,690
140,0.78935,15.43487,1263,690
141,0.64927,15.43346,1085,689
142,0.55247,15.43205,962,688
143,0.21800,15.43346,537,689
144,0.06689,15.43487,345,690
145,0.94360,15.43064,1459,687
146,0.76495,15.43064,1232,687
147,1.38431,15.43064,2019,687
148,0.67366,15.43064,1116,687
149,0.56270,15.42641,975,684
150,0.38405,15.43064,748,687
151,1.41894,15.42923,2063,686
152,0.87120,15.42923,1367,686
153,0.41868,15.42923,792,686
154,0.62408,15.41795,1053,678
155,0.51705,15.42077,917,680
156,1.20960,15.42500,1797,683
157,0.99948,15.42500,1530,683
158,0.97665,15.42641,1501,684
159,0.72088,15.42641,1176,684
160,0.70986,15.42641,1162,684
161,0.53594,15.42500,941,683
162,0.48242,15.42641,873,684
163,0.46983,15.42077,857,680
164,0.20934,15.42500,526,683
165,1.08447,15.42500,1638,683
166,0.08342,15.42359,366,682
167,1.43075,15.41936,2078,679
168,1.07739,15.42359,1629,682
169,0.85388,15.42359,1345,682
170,0.43127,15.41654,808,677
171,0.07712,15.42359,358,682
172,1.29460,15.42077,1905,680
173,0.77204,15.41654,1241,677
174,0.60047,15.41654,1023,677
175,0.29355,15.42077,633,680
176,1.36542,15.42077,1995,680
177,1.25525,15.41936,1855,679
178,0.95698,15.42077,1476,680
179,0.58473,15.42077,1003,680
180,0.36516,15.42077,724,680
181,0.25498,15.42077,584,680
182,0.50839,15.41936,906,679
183,1.30483,15.41795,1918,678
184,1.19465,15.41795,1778,678
185,0.91291,15.41513,1420,676
186,0.81060,15.41372,1290,675
187,0.79643,15.41795,1272,678
188,0.75630,15.41795,1221,678
189,0.30456,15.41795,647,678
190,0.19360,15.41795,506,678
191,1.46616,15.41795,2123,678
192,1.11123,15.41654,1672,677
193,0.67209,15.41654,1114,677
194,0.11097,15.41654,401,677
195,1.24423,15.41513,1841,676
196,1.21905,15.41372,1809,675
197,1.09234,15.41372,1648,675
198,1.05850,15.40949,1605,672
199,0.85860,15.41372,1351,675
200,0.70199,15.41372,1152,675
201,0.65163,15.40808,1088,671
202,0.24318,15.41513,569,676
203,0.21878,15.41372,538,675
204,0.09129,15.41372,376,675
205,0.05824,15.40949,334,672
206,1.00184,15.41231,1533,674
207,0.97508,15.40949,1499,672
208,0.86490,15.40949,1359,672
209,0.84365,15.40949,1332,672
210,0.82476,15.40949,1308,672
211,0.72167,15.40949,1177,672
212,0.48872,15.40385,881,668
213,0.93337,15.40808,1446,671
214,1.43468,15.40667,2083,670
215,1.01915,15.40526,1555,669
216,0.92707,15.40667,1438,670
217,1.45357,15.40526,2107,669
218,1.26941,15.40103,1873,666
219,0.88064,15.40526,1379,669
220,0.45252,15.40526,835,669
221,0.26915,15.40103,602,666
222,1.35362,15.40385,1980,668
223,0.74685,15.40385,1209,668
224,0.35336,15.40385,709,668
225,1.11752,15.39821,1680,664
226,1.14192,15.40103,1711,666
227,0.57686,15.39821,993,664
228,0.14087,15.40103,439,666
229,0.11726,15.39821,409,664
230,1.24816,15.39538,1846,662
231,1.06952,15.39962,1619,665
232,0.24711,15.39538,574,662
233,0.06925,15.39962,348,665
234,1.15687,15.39962,1730,665
235,0.78384,15.39821,1256,664
236,0.67288,15.39821,1115,664
237,0.66501,15.39962,1105,665
238,0.55089,15.39821,960,664
239,0.15661,15.39962,459,665
240,0.83893,15.39538,1326,662
241,0.73820,15.38974,1198,658
242,1.30561,15.39538,1919,662
243,0.50131,15.39538,897,662
244,0.30535,15.39538,648,662
245,0.60913,15.39397,1034,661
246,1.45042,15.38833,2103,657
247,1.42209,15.39256,2067,660
248,1.29774,15.38692,1909,656
249,1.03646,15.39115,1577,659
250,0.52099,15.38833,922,657
251,0.45016,15.38833,832,657
252,0.42104,15.39256,795,660
253,0.29669,15.38833,637,657
254,1.46537,15.39115,2122,659
255,1.40399,15.38974,2044,658
256,1.38982,15.38974,2026,658
257,1.13012,15.38974,1696,658
258,0.98374,15.38974,1510,658
259,0.46668,15.39115,853,659
260,0.40373,15.38974,773,658
261,0.38877,15.38974,754,658
262,0.12907,15.38974,424,658
263,0.91920,15.38974,1428,658
264,0.48085,15.38974,871,658
265,1.28673,15.38833,1895,657
266,1.15294,15.38551,1725,655
267,1.10729,15.38551,1667,655
268,0.88536,15.38833,1385,657
269,0.80430,15.38692,1282,656
270,0.71222,15.38692,1165,656
271,0.28646,15.38833,624,657
272,0.15268,15.38551,454,655
273,0.10703,15.38551,396,655
274,0.57293,15.38551,988,655
275,0.04250,15.39115,314,659
276,1.08841,15.37705,1643,649
277,0.97114,15.38410,1494,654
278,0.48872,15.37846,881,650
279,0.08814,15.37705,372,649
280,1.41028,15.38269,2052,653
281,1.32135,15.38269,1939,653
282,0.55797,15.38128,969,652
283,0.41002,15.38269,781,653
284,0.32109,15.38269,668,653
285,1.43861,15.38128,2088,652
286,1.13956,15.38128,1708,652
287,0.59182,15.38128,1012,652
288,0.43835,15.38128,817,652
289,0.13930,15.38128,437,652
290,1.07345,15.37846,1624,650
291,1.00971,15.37423,1543,647
292,0.53909,15.37846,945,650
293,0.07319,15.37846,353,650
294,0.61464,15.37705,1041,649
295,0.95383,15.37282,1472,646
296,0.50525,15.37564,902,648
297,1.40084,15.37564,2040,648
298,1.12461,15.37000,1689,644
299,0.92550,15.37423,1436,647
300,0.71773,15.37564,1172,648
301,0.40058,15.37423,769,647
302,0.12356,15.37000,417,644
303,1.39140,15.37141,2028,645
304,1.06716,15.37000,1616,644
305,0.93888,15.37000,1453,644
306,0.70672,15.37141,1158,645
307,0.52335,15.37141,925,645
308,0.39113,15.37141,757,645
309,0.06611,15.37000,344,644
310,0.58552,15.36859,1004,643
311,1.30089,15.36718,1913,642
312,1.18442,15.36718,1765,642
313,0.98610,15.36718,1513,642
314,0.85073,15.36577,1341,641
315,0.30063,15.36718,642,642
316,0.18416,15.36718,494,642
317,0.88458,15.35731,1384,635
318,1.28200,15.36295,1889,639
319,1.05220,15.36295,1597,639
320,0.97665,15.35872,1501,636
321,0.94911,15.36295,1466,639
322,0.91842,15.35731,1427,635
323,0.91055,15.36295,1417,639
324,0.79092,15.36295,1265,639
325,0.28095,15.36295,617,639
326,0.05115,15.36295,325,639
327,1.34575,15.36013,1970,637
328,0.57057,15.36154,985,638
329,0.34470,15.36013,698,637
330,1.33473,15.35872,1956,636
331,1.19858,15.35872,1783,636
332,0.33447,15.35872,685,636
333,0.19753,15.35872,511,636
334,1.09942,15.35167,1657,631
335,1.00498,15.35731,1537,635
336,0.09837,15.35167,385,631
337,1.04276,15.35590,1585,634
338,0.53673,15.35590,942,634
339,0.04328,15.35590,315,634
340,1.26469,15.35026,1867,630
341,1.13799,15.35167,1706,631
342,0.26443,15.35026,596,630
343,0.13694,15.35167,434,631
344,0.62566,15.35308,1055,632
345,1.25289,15.35167,1852,631
346,1.16946,15.35167,1746,631
347,0.90189,15.35026,1406,630
348,0.25184,15.35167,580,631
349,0.16842,15.35167,474,631
350,1.23321,15.35026,1827,630
351,0.23216,15.35026,555,630
352,1.07660,15.34744,1628,628
353,0.07634,15.34744,357,628
354,0.76731,15.34603,1235,627
355,0.69176,15.34462,1139,626
356,1.43704,15.34462,2086,626
357,1.38589,15.34462,2021,626
358,1.20016,15.34462,1785,626
359,1.16081,15.34462,1735,626
360,1.02545,15.34321,1563,625
361,1.00892,15.34321,1542,625
362,0.87041,15.34462,1366,626
363,0.43678,15.34462,815,626
364,0.38484,15.34462,749,626
365,0.19911,15.34462,513,626
366,0.15976,15.34462,463,626
367,1.21905,15.34179,1809,624
368,1.08683,15.33615,1641,620
369,0.99318,15.34179,1522,624
370,0.21800,15.34321,537,625
371,0.08657,15.33615,370,620
372,1.45121,15.33897,2104,622
373,1.33631,15.34038,1958,623
374,1.04119,15.33756,1583,621
375,0.93416,15.33897,1447,622
376,0.88694,15.33897,1387,622
377,0.45016,15.33897,832,622
378,0.33604,15.34038,687,623
379,0.04328,15.33897,315,622
380,0.48321,15.33897,874,622
381,1.19071,15.33756,1773,621
382,0.18966,15.33756,501,621
383,1.31584,15.33615,1932,620
384,1.05693,15.33333,1603,618
385,0.67681,15.33615,1120,620
386,0.66815,15.33615,1109,620
387,0.31558,15.33615,661,620
388,0.05666,15.33333,332,618
389,1.37644,15.33051,2009,616
390,0.63903,15.33051,1072,616
391,0.37539,15.33051,737,616
392,1.29696,15.33051,1908,616
393,0.65792,15.33051,1096,616
394,0.46983,15.32910,857,615
395,0.29591,15.33051,636,616
396,1.38825,15.32910,2024,615
397,0.38720,15.32910,752,615
398,1.46616,15.33051,2123,616
399,1.23400,15.32769,1828,614
400,0.84208,15.32769,1330,614
401,0.74292,15.32769,1204,614
402,0.23374,15.32769,557,614
403,1.35047,15.32628,1976,613
404,0.96878,15.32628,1491,613
405,0.34942,15.32628,704,613
406,1.17183,15.32346,1749,611
407,1.15373,15.31923,1726,608
408,1.11123,15.32346,1672,611
409,1.07345,15.32346,1624,611
410,0.17156,15.32346,478,611
411,0.14717,15.32346,447,611
412,0.11018,15.32346,400,611
413,0.07240,15.32346,352,611
414,0.94911,15.32205,1466,610
415,0.81689,15.31923,1298,608
416,1.11988,15.32064,1683,609
417,0.85703,15.31923,1349,608
418,0.11962,15.31923,412,608
419,0.15818,15.31359,461,604
420,0.70357,15.31782,1154,607
421,0.56663,15.31782,980,607
422,0.60047,15.31500,1023,605
423,0.94045,15.31500,1455,605
424,1.26784,15.31359,1871,604
425,1.21354,15.31359,1802,604
426,0.95934,15.31359,1479,604
427,0.83578,15.31359,1322,604
428,0.26758,15.31359,600,604
429,0.21327,15.31359,531,604
430,0.68311,15.31077,1128,602
431,0.64848,15.31218,1084,603
432,1.35519,15.30795,1982,600
433,1.34024,15.30795,1963,600
434,1.10729,15.30795,1667,600
435,0.89087,15.30795,1392,600
436,0.85073,15.30231,1341,596
437,0.80981,15.30654,1289,599
438,0.76889,15.30513,1237,598
439,0.35493,15.30795,711,600
440,0.33998,15.30795,692,600
441,0.10703,15.30795,396,600
442,0.92471,15.30372,1435,597
443,0.73269,15.29949,1191,594
444,1.11910,15.29667,1682,592
445,0.11884,15.29667,411,592
446,0.95934,15.29526,1479,591
447,0.82634,15.29385,1310,590
448,0.90976,15.29244,1416,589
449,1.17576,15.28962,1754,587
450,0.81689,15.28962,1298,587
451,0.17471,15.28962,482,587
452,1.20331,15.28821,1789,586
453,1.13799,15.28821,1706,586
454,0.68468,15.28821,1130,586
455,0.64690,15.28962,1082,587
456,0.20304,15.28821,518,586
457,0.13772,15.28821,435,586
458,0.63510,15.28256,1067,582
459,0.87592,15.28115,1373,581
460,1.03332,15.27833,1573,579
461,0.75393,15.27692,1218,578
462,0.71852,15.27974,1173,580
463,0.80194,15.27551,1279,577
464,0.70908,15.27551,1161,577
465,1.18442,15.27410,1765,576
466,0.18416,15.27410,494,576
467,1.19858,15.27269,1783,575
468,0.19832,15.27269,512,575
469,0.83893,15.26987,1326,573
470,0.73347,15.26846,1192,572
471,0.53673,15.26846,942,572
472,1.35756,15.26564,1985,570
473,1.34654,15.26423,1971,569
474,0.35651,15.26564,713,570
475,0.34627,15.26423,700,569
476,0.78541,15.26000,1258,566
477,0.81139,15.25859,1291,565
478,0.78935,15.25013,1263,559
479,0.75866,15.25154,1224,560
480,1.30561,15.25154,1919,560
481,0.72639,15.25013,1183,559
482,0.30535,15.25154,648,560
483,1.32686,15.24167,1946,553
484,0.86097,15.24308,1354,554
485,0.32660,15.24167,675,553
486,1.23715,15.23744,1832,550
487,0.23688,15.23744,561,550
488,1.19071,15.23462,1773,548
489,0.19045,15.23462,502,548
490,1.12225,15.23038,1686,545
491,0.12198,15.23038,415,545
492,0.83499,15.22756,1321,543
493,0.76731,15.22474,1235,541
494,1.17891,15.22192,1758,539
495,0.17865,15.22192,487,539
496,1.27886,15.21346,1885,533
497,0.75236,15.21346,1216,533
498,0.27859,15.21346,614,533
499,0.65399,15.21064,1091,531
500,0.63431,15.20641,1066,528
501,0.61542,15.20359,1042,526
502,1.25289,15.20077,1852,524
503,0.25184,15.20077,580,524
504,0.89481,15.20077,1397,524
505,0.76653,15.19654,1234,521
506,0.75157,15.19654,1215,521
507,1.29302,15.18949,1903,516
508,1.27177,15.18949,1876,516
509,0.29276,15.18949,632,516
510,0.27072,15.18949,604,516
511,0.78227,15.17821,1254,508
512,1.36621,15.17679,1996,507
513,1.25918,15.17679,1860,507
514,0.36595,15.17538,725,506
515,0.25813,15.17679,588,507
516,1.24108,15.17397,1837,505
517,0.24082,15.17397,566,505
518,1.20645,15.16269,1793,497
519,0.35493,15.16269,711,497
520,1.35519,15.16269,1982,497
521,0.20540,15.16269,521,497
522,1.25525,15.15846,1855,494
523,0.25498,15.15987,584,495
524,1.37329,15.15282,2005,490
525,0.37225,15.15282,733,490
526,0.80037,15.15282,1277,490
527,0.71852,15.14436,1173,484
528,1.32057,15.14013,1938,481
529,0.32030,15.14013,667,481
530,1.22141,15.13872,1812,480
531,1.19071,15.13872,1773,480
532,0.22114,15.13872,541,480
533,0.18966,15.13872,501,480
534,1.30483,15.11333,1918,462
